"","id","statistic","p.value","r.squared","adj.r.squared","sigma","df","logLik","AIC","BIC","deviance","df.residual","nobs","term","estimate","std.error"
"60","7",13021.017202205,0,0.991811718083292,0.991735548018951,0.0708010956721357,10,1340.15934883135,-2656.31869766269,-2596.43561965676,5.38875478450303,1075,1086,NA,NA,NA
"61","10",-17.1802324892401,1.96812983229924e-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",-0.246913465993866,0.0143719513777538
"62","10",-11.2392923608961,2.59342781214235e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",-0.00251567060678656,0.000223828202524486
"63","10",-8.93550049061004,7.6004628343496e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",-2.50922487541984e-06,2.80815257976505e-07
"64","10",-7.43308497088773,4.5719398650714e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",-3.81783924080633e-10,5.13627821524872e-11
"65","10",-6.32695015489453,5.51757618464027e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",-7.77377102975019e-15,1.22867587691305e-15
"66","10",5.87340337804225,7.75010479301591e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",1.12648019532471e-17,1.91793432669048e-18
"67","10",6.84208945663361,2.26655641137987e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",2.30137463660196e-12,3.3635553162356e-13
"68","10",8.12028037850764,3.58635329964631e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",3.88984308042819e-08,4.79028173796022e-09
"69","10",9.93644348204449,2.27375080422966e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",0.00010195924227742,1.02611404635536e-05
"70","10",13.0618978912727,8.48637953630828e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",0.0347454834508385,0.00266006393098921
"71","10",457.610369367208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",11.366169552253,0.0248380943988887
"72","10",8207.51732296932,0,0.993884730677479,0.993763636235449,0.0645007588513343,10,687.783585305718,-1351.56717061144,-1300.61388942566,2.10097568566098,505,516,NA,NA,NA
"73","14",-16.550247869206,1.80255769487801e-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",-0.209888872962389,0.0126819171906734
"74","14",-9.23574294565958,7.08928501718994e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",-0.00178829270751784,0.000193627379848013
"75","14",-6.25756135912596,8.35230798387607e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",-1.50703995450828e-06,2.40835026301489e-07
"76","14",-4.41675655820323,1.22655148221046e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",-1.93474221250421e-10,4.38045925105567e-11
"77","14",-3.11073970471107,0.00197171045200142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",-3.24548035528966e-15,1.04331466576086e-15
"78","14",2.58423717804568,0.0100390678347624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",4.20055761298783e-18,1.62545359561946e-18
"79","14",3.71487508635892,0.000225985923216131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",1.06321902129587e-12,2.86205860649266e-13
"80","14",5.24747166684542,2.27390659071935e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",2.14931862381823e-08,4.09591277528577e-09
"81","14",7.53427407253149,2.28540518304391e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",6.65501830814058e-05,8.83299206277018e-06
"82","14",11.6435846532764,6.40657291088009e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",0.0269894267185735,0.00231796543094475
"83","14",495.57664070969,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",11.0715007591543,0.0223406428989457
"84","14",7565.68946797836,0,0.993369387642952,0.993238088388357,0.0550236107323436,10,769.783523916745,-1515.56704783349,-1464.61376664771,1.52893685770236,505,516,NA,NA,NA
"85","18",-2.23856940929456,0.025387609845184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",-0.000376902943665832,0.000168367771890801
"86","18",-2.06859519754964,0.0388223036730642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",-3.80920000695396e-07,1.84144293260768e-07
"87","18",-1.43343024026769,0.152025151921336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",-4.25281993312246e-11,2.96688308482194e-11
"88","18",-1.27350375429972,0.203114122354462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",-0.0163752223910679,0.0128584013480764
"89","18",-0.793205241189509,0.427832961157618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",-4.9804404676717e-16,6.27887992797793e-16
"90","18",0.515810065712466,0.606092941168475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",4.75947529147517e-19,9.22718575664303e-19
"91","18",1.10188831522087,0.270756409286922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",2.01291442383695e-13,1.8267862505044e-13
"92","18",1.68892526044889,0.0915232133664461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",0.00365510447341909,0.0021641599892038
"93","18",1.76834696954417,0.0772859640268435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",5.20944839658605e-09,2.94594244585886e-09
"94","18",2.26656032011465,0.0236147893014914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",1.630109336543e-05,7.1919962688685e-06
"95","18",416.552856960227,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",10.3765390553202,0.0249104978682476
"96","18",10410.2247061202,0,0.989760337423092,0.989665261633148,0.0789051149547084,10,1224.70890471468,-2425.41780942937,-2365.51265230038,6.70542048779896,1077,1088,NA,NA,NA
"97","22",-5.79715588640328,1.24310185705213e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",-0.0769654825106117,0.0132764210621156
"98","22",-1.7074510141587,0.0884028999725069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",-0.000338005831219901,0.000197959313864384
"99","22",-1.04124926258951,0.298298628235241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",-1.71220346545302e-18,1.6443742406068e-18
